"DEPT","DEPTDESC"
3103,"COP             "
6006,"INVEST          "
1202,"CABERN          "
4402,"1928            "
2102,"CAB             "
7200,"COFFRET         "
8002,"C KLEIN         "
5506,"MOSCHINO        "
3102,"CAMBIO          "
9105,"LISLI           "
5207,"H SIERR         "
8306,"REEBOK          "
1301,"BE2             "
4505,"POLOMEN         "
3404,"CITIZENS        "
5203,"COLEHAAN        "
801,"LESLIE          "
5404,"CARTIER         "
4303,"ESPRIT          "
5102,"P&Y             "
8104,"COP KEY         "
4704,"DKNY            "
7205,"LOUISVL         "
7102,"BCH             "
5301,"KAREN K         "
9306,"SPERRY          "
3105,"AUSTIN          "
2105,"R TAYLOR        "
7101,"CAROLE          "
6107,"NOB             "
7106,"BRIOSO          "
6402,"FREDERI         "
1704,"R LAUREN        "
2107,"MAI             "
4801,"GOTTEX          "
3100,"4711            "
8000,"ETERNIT         "
800,"CLINIQUE        "
4407,"ENVIRON         "
5100,"COLOR           "
7104,"CARTERS         "
2200,"CELEBRT         "
9000,"ANNASUI         "
9801,"CATALIN         "
1905,"R & Y           "
3701,"LACOSTE         "
7307,"SIGRID O        "
1107,"JACQUES         "
4400,"BORA            "
2301,"BEP             "
3107,"ONEIDA          "
8305,"NO FEAR         "
6400,"BLUE            "
5305,"LIZ CLA         "
2503,"CHORUS          "
1100,"GARY F          "
6601,"MATTY M         "
6505,"ST JOHN         "
6404,"ELLEN T         "
8101,"ECHO            "
