"SKU","STORE","COST","RETAIL"
5258283,103,12.17,13.22
1448152,102,40.50,44.50
7458430,107,15.33,18.25
9729337,203,49.68,54.00
8899528,102,7.00,4.75
7579762,4303,18.40,20.00
3427699,103,9.00,3.64
6091110,304,10.82,13.26
516730,107,25.00,17.25
2838209,1509,13.00,14.00
2173799,102,39.75,19.88
606740,102,32.90,35.76
4079099,209,9.00,9.99
924324,103,27.28,29.65
5029771,103,5.00,10.00
9084646,1609,39.00,40.00
1903769,103,48.75,24.37
887904,103,36.00,39.50
9568567,102,4.50,7.49
9068414,102,44.75,44.75
1458817,1109,5.00,7.49
3909744,1003,77.28,84.00
5654274,3204,9.19,9.99
6585,103,19.42,21.11
2308345,2609,227.50,695.00
6397091,107,17.94,11.00
5088459,102,26.50,59.00
1163032,203,6.31,6.85
3973999,209,14.00,9.75
2696689,103,1.58,0.93
2556107,209,108.00,59.75
3153713,102,22.08,14.00
4370928,7703,48.75,100.00
6829971,103,34.20,58.50
554761,102,14.37,10.56
2029261,209,39.50,40.00
6939700,1509,151.80,165.00
4559064,502,56.42,61.33
4353289,103,9.31,20.00
3728786,1607,17.00,42.00
7502028,3307,14.90,33.00
790451,3504,11.90,19.00
5681171,102,28.66,31.16
4688043,107,6.00,4.40
2011622,7304,54.00,110.00
1037744,209,33.57,36.49
5598808,102,13.50,22.50
7521278,3604,8.00,5.00
2467708,103,16.50,21.00
3598400,809,41.85,67.50
3108443,209,39.00,44.50
416259,103,35.41,38.49
2269580,1202,38.00,85.00
3227226,102,3.84,5.00
7500621,2307,22.50,45.00
4647667,2807,11.75,19.99
9436305,103,27.76,14.17
1228898,102,23.50,17.25
2147779,103,15.75,9.50
7106710,7907,276.00,300.00
1637899,102,16.76,18.22
6287097,103,12.50,17.00
83116,102,7.85,6.25
6267378,102,5.75,6.46
3236484,107,5.75,3.24
7936050,107,27.00,26.46
3569158,709,22.50,75.00
829624,209,7.60,19.00
383530,209,34.75,17.37
4677113,3902,8.97,9.75
4631639,102,9.25,8.00
1301473,102,20.50,18.75
4896102,2804,8.27,8.99
9786822,102,4.20,2.50
9317053,102,42.98,25.00
9127041,102,18.70,19.99
6898121,103,11.20,14.00
696689,102,3.40,2.00
328533,1607,32.20,35.00
8902485,209,5.53,6.01
1004077,4502,25.00,17.25
4788188,102,21.94,23.85
6781418,502,11.49,12.48
4410305,103,42.50,21.25
2279980,409,18.17,19.75
2142885,102,14.75,14.75
6099165,707,32.40,74.00
3734761,102,20.95,22.77
5468157,102,10.25,6.00
