"STORE","CITY","STATE","ZIP","MSA","MSA_NAME","MSA_POP","CENSUS_REGION","LATITUDE","LONGITUDE","MSA_INCOME","MSA_HIGH","MSA_BACH"
9303,"LOUISVILLE                              ","KY  ","40216     ",4520,"LOUISVILLE-JEFFERSON COUNTY, KY-IN                                              ",1233735,"SOUTH                                                       ",38.188886,85.83137,34100,76.1,21.3
9002,"NEW ORLEANS                             ","LA  ","70127     ",5560,"NEW ORLEANS-METAIRIE-KENNER, LA                                                 ",1030363,"SOUTH                                                       ",30.033475,89.97736,20722,77.7,22.6
8304,"TULSA                                   ","OK  ","74134     ",8560,"TULSA, OK                                                                       ",905755,"SOUTH                                                       ",36.114797,95.82105,33920,83.7,23.2
7902,"OXFORD                                  ","AL  ","36203     ",450,"ANNISTON-OXFORD, AL                                                             ",113103,"SOUTH                                                       ",33.591301,85.83571,27820,73.9,15.2
2809,"ST GEORGE                               ","UT  ","84790     ",0,"ST. GEORGE, UT                                                                  ",133791,"WEST                                                        ",37.075039,113.55568,22299,87.8,22.0
3103,"WICHITA                                 ","KS  ","67209     ",9040,"WICHITA, KS                                                                     ",596452,"MIDWEST                                                     ",37.67129,97.4372,33368,83.8,25.3
9302,"BATON ROUGE                             ","LA  ","70836     ",760,"BATON ROUGE, LA                                                                 ",770037,"SOUTH                                                       ",30.388292,91.08631,31630,81.9,24.9
1502,"FT MYERS                                ","FL  ","33901     ",2700,"CAPE CORAL-FORT MYERS, FL                                                       ",590564,"SOUTH                                                       ",26.62365,81.8727,34059,82.3,21.1
3307,"AUSTIN                                  ","TX  ","78746     ",640,"AUSTIN-ROUND ROCK, TX                                                           ",1598161,"SOUTH                                                       ",30.287739,97.8022,34005,84.8,36.7
3009,"MURRAY                                  ","UT  ","84107     ",7160,"SALT LAKE CITY, UT                                                              ",1099973,"WEST                                                        ",40.659997,111.88394,33279,87.5,26.5
9609,"LONGMONT                                ","CO  ","80501     ",1125,"BOULDER, CO                                                                     ",290262,"WEST                                                        ",40.171484,105.10033,45944,92.8,52.4
8404,"TULSA                                   ","OK  ","74133     ",8560,"TULSA, OK                                                                       ",905755,"SOUTH                                                       ",36.04309,95.88417,33920,83.7,23.2
9604,"MIDWEST CITY                            ","OK  ","73110     ",5880,"OKLAHOMA CITY, OK                                                               ",1192989,"SOUTH                                                       ",35.459478,97.39721,31630,83.6,24.4
303,"ST. ANN                                 ","MO  ","63074     ",7040,"ST. LOUIS, MO-IL                                                                ",2803707,"MIDWEST                                                     ",38.727184,90.38551,36174,81.5,16.9
9704,"SHAWNEE                                 ","OK  ","74804     ",0,"OK NONMETROPOLITAN AREA                                                         ",28692,"SOUTH                                                       ",35.375188,96.93162,27659,77.8,18.5
1102,"BRADENTON                               ","FL  ","34205     ",7510,"SARASOTA-BRADENTON-VENICE, FL                                                   ",687181,"SOUTH                                                       ",27.485617,82.58294,40112,84.7,24.6
9603,"LOUISVILLE                              ","KY  ","40219     ",4520,"LOUISVILLE-JEFFERSON COUNTY, KY-IN                                              ",1233735,"SOUTH                                                       ",38.141638,85.68218,34100,76.1,21.3
5004,"CHARLOTTE                               ","NC  ","28211     ",1520,"CHARLOTTE-GASTONIA-CONCORD, NC-SC                                               ",1651568,"SOUTH                                                       ",35.170094,80.79857,36151,80.8,27.1
5704,"AUGUSTA                                 ","GA  ","30909     ",600,"AUGUSTA-RICHMOND COUNTY, GA-SC                                                  ",528519,"SOUTH                                                       ",33.475936,82.0697,28105,80.1,22.1
2504,"FRANKLIN                                ","TN  ","37067     ",5360,"NASHVILLE-MURFREESBORO-FRANKLIN, TN                                             ",1521437,"SOUTH                                                       ",35.921811,86.7952,36445,81.4,26.9
5904,"AIKEN                                   ","SC  ","29803     ",600,"AUGUSTA-RICHMOND COUNTY, GA-SC                                                  ",528519,"SOUTH                                                       ",33.486049,81.70946,28105,76.8,18.8
5504,"PINEVILLE                               ","NC  ","28134     ",1520,"CHARLOTTE-GASTONIA-CONCORD, NC-SC                                               ",1651568,"SOUTH                                                       ",35.086017,80.89034,36151,80.8,27.1
1202,"SARASOTA                                ","FL  ","34239     ",7510,"SARASOTA-BRADENTON-VENICE, FL                                                   ",687181,"SOUTH                                                       ",27.310924,82.5213,40112,84.7,24.6
3109,"OGDEN                                   ","UT  ","84405     ",7160,"OGDEN-CLEARFIELD, UT                                                            ",518349,"WEST                                                        ",41.165551,111.9675,28208,87.5,26.5
9103,"LOUISVILLE                              ","KY  ","40207     ",4520,"LOUISVILLE-JEFFERSON COUNTY, KY-IN                                              ",1233735,"SOUTH                                                       ",38.257489,85.65134,34100,76.1,21.3
407,"FT. WORTH                               ","TX  ","76132     ",2800,"DALLAS-FORT WORTH-ARLINGTON, TX                                                 ",6145037,"SOUTH                                                       ",32.670345,97.4143,37075,79.9,28.4
4402,"VERO BEACH                              ","FL  ","32966     ",0,"SEBASTIAN-VERO BEACH, FL                                                        ",131837,"SOUTH                                                       ",27.645377,80.51468,41560,85.0,32.0
7904,"RICHMOND                                ","VA  ","23235     ",6760,"RICHMOND, VA                                                                    ",1212977,"SOUTH                                                       ",37.522514,77.56565,37169,82.6,29.2
307,"IRVING                                  ","TX  ","75062     ",2800,"DALLAS-FORT WORTH-ARLINGTON, TX                                                 ",6145037,"SOUTH                                                       ",32.846645,96.96733,37075,79.9,28.4
8709,"BROOMFIELD                              ","CO  ","80021     ",2080,"DENVER-AURORA, CO                                                               ",2464866,"WEST                                                        ",39.881608,105.09953,42574,86.4,34.2
202,"TAMPA                                   ","FL  ","33612     ",8280,"TAMPA-ST. PETERSBURG-CLEARWATER, FL                                             ",2723949,"SOUTH                                                       ",28.048595,82.45171,33008,81.5,21.7
3902,"SPANISH FORT                            ","AL  ","36527     ",1,"AL NONMETROPOLITAN AREA                                                         ",5797,"South                                                       ",30.684873,87.89723,56099,91.9,39.1
8802,"HAMMOND                                 ","LA  ","70403     ",0,"LA NONMETROPOLITAN AREA                                                         ",17639,"SOUTH                                                       ",30.484785,90.4762,26047,70.9,25.8
3004,"CHATTANOOGA                             ","TN  ","37421     ",1560,"CHATTANOOGA, TN-GA                                                              ",514568,"SOUTH                                                       ",35.028574,85.15939,31113,79.4,22.7
