"STORE","CITY","STATE","ZIP"
5300,"NASHVILLE                               ","TN  ","99999     "
9002,"NEW ORLEANS                             ","LA  ","70127     "
8304,"TULSA                                   ","OK  ","74134     "
7902,"OXFORD                                  ","AL  ","36203     "
6100,"SALISBURY                               ","NC  ","28146     "
3300,"OLATHE                                  ","KS  ","66062     "
3103,"WICHITA                                 ","KS  ","67209     "
9302,"BATON ROUGE                             ","LA  ","70836     "
1502,"FT MYERS                                ","FL  ","33901     "
600,"GARDENA                                 ","CA  ","90248     "
3009,"MURRAY                                  ","UT  ","84107     "
9609,"LONGMONT                                ","CO  ","80501     "
8404,"TULSA                                   ","OK  ","74133     "
1802,"BONITA SPRINGS                          ","FL  ","34135     "
2100,"SALISBURY                               ","NC  ","28146     "
5912,"MIAMI                                   ","FL  ","33189     "
9704,"SHAWNEE                                 ","OK  ","74804     "
1102,"BRADENTON                               ","FL  ","34205     "
9603,"LOUISVILLE                              ","KY  ","40219     "
5004,"CHARLOTTE                               ","NC  ","28211     "
5704,"AUGUSTA                                 ","GA  ","30909     "
3900,"GILBERT                                 ","AZ  ","85233     "
5904,"AIKEN                                   ","SC  ","29803     "
5504,"PINEVILLE                               ","NC  ","28134     "
1202,"SARASOTA                                ","FL  ","34239     "
3109,"OGDEN                                   ","UT  ","84405     "
163,"ST CHARLES                              ","MO  ","63301     "
9103,"LOUISVILLE                              ","KY  ","40207     "
2300,"OLATHE                                  ","KS  ","66062     "
407,"FT. WORTH                               ","TX  ","76132     "
4402,"VERO BEACH                              ","FL  ","32966     "
7904,"RICHMOND                                ","VA  ","23235     "
307,"IRVING                                  ","TX  ","75062     "
3,"ST. LOUIS                               ","MO  ","63126     "
202,"TAMPA                                   ","FL  ","33612     "
3902,"SPANISH FORT                            ","AL  ","36527     "
8106,"LITTLE ROCK                             ","AR  ","72201     "
8802,"HAMMOND                                 ","LA  ","70403     "
3004,"CHATTANOOGA                             ","TN  ","37421     "
1504,"SOUTHAVEN                               ","MS  ","38671     "
6502,"ATLANTA                                 ","GA  ","30363     "
8509,"AURORA                                  ","CO  ","80021     "
6503,"BEACHWOOD                               ","OH  ","44122     "
5202,"PLANTATION                              ","FL  ","33388     "
9403,"LOUISVILLE                              ","KY  ","40202     "
604,"JONESBORO                               ","AR  ","72401     "
9100,"XXXXXXXXXXXXXXXXXXXX                    ","TX  ","99999     "
400,"MABELVALE                               ","AR  ","72103     "
2807,"HARLINGEN                               ","TX  ","78552     "
9404,"OKLAHOMA CITY                           ","OK  ","73149     "
4507,"SAN ANGELO                              ","TX  ","76904     "
3603,"TOPEKA                                  ","KS  ","66604     "
7807,"PASADENA                                ","TX  ","77506     "
7603,"TOLEDO                                  ","OH  ","43623     "
5703,"CINCINNATI                              ","OH  ","45249     "
7204,"CHESAPEAKE                              ","VA  ","23320     "
7007,"THE WOODLANDS                           ","TX  ","77380     "
9806,"MABELVALE                               ","AR  ","72103     "
1609,"FLAGSTAFF                               ","AZ  ","86004     "
209,"SCOTTSDALE                              ","AZ  ","85251     "
62,"TULSA                                   ","OK  ","74110     "
6403,"STRONGSVILLE                            ","OH  ","44136     "
4903,"MOLINE                                  ","IL  ","61265     "
3402,"GAINESVILLE                             ","FL  ","32605     "
1007,"PLANO                                   ","TX  ","75075     "
5502,"WEST PALM BEACH                         ","FL  ","33401     "
3809,"HELENA                                  ","MT  ","59601     "
2702,"ORLANDO                                 ","FL  ","32803     "
4907,"TYLER                                   ","TX  ","75703     "
4003,"WEST DES MOINES                         ","IA  ","50266     "
8703,"LEXINGTON                               ","KY  ","40503     "
2604,"CLARKSVILLE                             ","TN  ","37040     "
2400,"MABELVALE                               ","AR  ","72103     "
2309,"FARMINGTON                              ","NM  ","87402     "
9812,"METAIRIE                                ","LA  ","70006     "
3404,"SHREVEPORT                              ","LA  ","71118     "
2312,"WINTER PARK                             ","FL  ","32789     "
9,"TEMPE                                   ","AZ  ","85281     "
1302,"SARASOTA                                ","FL  ","34238     "
9206,"ARLINGTON                               ","TX  ","76011     "
1009,"YUMA                                    ","AZ  ","85365     "
7103,"AKRON                                   ","OH  ","44333     "
5203,"CINCINNATI                              ","OH  ","45246     "
1807,"PLANO                                   ","TX  ","75093     "
200,"VALDOSTA                                ","GA  ","31601     "
7404,"NEWPORT NEWS                            ","VA  ","23602     "
3507,"CEDAR PARK                              ","TX  ","78613     "
7704,"RICHMOND                                ","VA  ","23235     "
809,"CHANDLER                                ","AZ  ","85226     "
5204,"GASTONIA                                ","NC  ","28054     "
7003,"ASHTABULA                               ","OH  ","44004     "
1307,"SHERMAN                                 ","TX  ","75090     "
8602,"GRETNA                                  ","LA  ","70053     "
503,"ST. LOUIS                               ","MO  ","63129     "
3302,"JACKSONVILLE                            ","FL  ","32256     "
3602,"MERRITT ISLAND                          ","FL  ","32952     "
309,"PHOENIX                                 ","AZ  ","85051     "
8102,"LAFAYETTE                               ","LA  ","70503     "
6703,"NORTH OLMSTED                           ","OH  ","44070     "
6804,"COLUMBIA                                ","SC  ","29223     "
3000,"CARSON                                  ","CA  ","90746     "
1702,"LAKE WALES                              ","FL  ","33859     "
2104,"NASHVILLE                               ","TN  ","37215     "
3504,"MONROE                                  ","LA  ","71203     "
7002,"TUSCALOOSA                              ","AL  ","35405     "
4107,"CLOVIS                                  ","NM  ","88101     "
4403,"LINCOLN                                 ","NE  ","68505     "
4165,"DAYTON                                  ","NJ  ","08810     "
2409,"EL PASO                                 ","TX  ","79925     "
2207,"SAN ANTONIO                             ","TX  ","78247     "
4965,"NEW YORK                                ","NY  ","10019     "
3304,"BOSSIER CITY                            ","LA  ","71111     "
404,"PINE BLUFF                              ","AR  ","71601     "
2402,"SANFORD                                 ","FL  ","32771     "
3607,"COLLEGE STATION                         ","TX  ","77840     "
4203,"COUNCIL BLUFFS                          ","IA  ","51503     "
8209,"AURORA                                  ","CO  ","80012     "
2707,"MCALLEN                                 ","TX  ","78501     "
8403,"PADUCAH                                 ","KY  ","42001     "
8007,"HUMBLE                                  ","TX  ","77338     "
6109,"PALMDALE                                ","CA  ","93551     "
3804,"ASHEBORO                                ","NC  ","27203     "
3403,"SALINA                                  ","KS  ","67401     "
8604,"MUSKOGEE                                ","OK  ","74401     "
6200,"VALDOSTA                                ","GA  ","31601     "
7900,"OLATHE                                  ","KS  ","66062     "
4304,"DURHAM                                  ","NC  ","27707     "
4503,"GRAND ISLAND                            ","NE  ","68803     "
4504,"WINSTON-SALEM                           ","NC  ","27103     "
6402,"ATLANTA                                 ","GA  ","30346     "
3400,"MABELVALE                               ","AR  ","72103     "
4062,"WINSTON-SALEM                           ","NC  ","27105     "
8503,"BOWLING GREEN                           ","KY  ","42104     "
1403,"SPRINGFIELD                             ","MO  ","65804     "
8609,"WESTMINSTER                             ","CO  ","80030     "
1704,"NASHVILLE                               ","TN  ","37211     "
9402,"LAKE CHARLES                            ","LA  ","70601     "
703,"ST. LOUIS                               ","MO  ","63126     "
1709,"TUCSON                                  ","AZ  ","85711     "
8702,"SLIDELL                                 ","LA  ","70460     "
2609,"EL PASO                                 ","TX  ","79912     "
2007,"SAN ANTONIO                             ","TX  ","78216     "
504,"LITTLE ROCK                             ","AR  ","72205     "
4565,"LYNDHURST                               ","NJ  ","07071     "
5303,"CINCINNATI                              ","OH  ","45251     "
3800,"MONMOUTH JUNCTION                       ","NJ  ","08852     "
8506,"LITTLE ROCK                             ","AR  ","72201     "
8409,"LITTLETON                               ","CO  ","80123     "
7202,"MONTGOMERY                              ","AL  ","36117     "
2719,"EL PASO                                 ","TX  ","79925     "
4604,"HICKORY                                 ","NC  ","28602     "
909,"MESA                                    ","AZ  ","85206     "
800,"OLATHE                                  ","KS  ","66062     "
4407,"ABILENE                                 ","TX  ","79606     "
7502,"COLUMBUS                                ","GA  ","31909     "
6203,"MENTOR                                  ","OH  ","44060     "
2407,"SAN ANTONIO                             ","TX  ","78205     "
6104,"CHARLESTON                              ","SC  ","29407     "
9202,"MERIDIAN                                ","MS  ","39301     "
1402,"PORT CHARLOTTE                          ","FL  ","33948     "
9104,"ENID                                    ","OK  ","73703     "
7600,"SALISBURY                               ","NC  ","28146     "
102,"TAMPA                                   ","FL  ","33607     "
2200,"VALDOSTA                                ","GA  ","31601     "
9000,"GILBERT                                 ","AZ  ","85233     "
707,"DALLAS                                  ","TX  ","75240     "
9112,"BATON ROUGE                             ","LA  ","70806     "
4102,"MOBILE                                  ","AL  ","36606     "
2517,"SAN ANTONIO                             ","TX  ","78216     "
1207,"MESQUITE                                ","TX  ","75150     "
2509,"LAS CRUCES                              ","NM  ","88011     "
9804,"LAWTON                                  ","OK  ","73501     "
804,"ROGERS                                  ","AR  ","72756     "
402,"BRANDON                                 ","FL  ","33511     "
7507,"HOUSTON                                 ","TX  ","77056     "
4804,"ASHEVILLE                               ","NC  ","28805     "
7402,"DOTHAN                                  ","AL  ","36303     "
2804,"KNOXVILLE                               ","TN  ","37919     "
4703,"WATERLOO                                ","IA  ","50702     "
3309,"PROVO                                   ","UT  ","84601     "
8706,"LITTLE ROCK                             ","AR  ","72201     "
6102,"BUFORD                                  ","GA  ","30519     "
3702,"MELBOURNE                               ","FL  ","32904     "
2209,"SANTA FE                                ","NM  ","87505     "
302,"TAMPA                                   ","FL  ","33625     "
5006,"HERMITAGE                               ","TN  ","37076     "
7307,"HOUSTON                                 ","TX  ","77082     "
3807,"CORPUS CHRISTI                          ","TX  ","78411     "
1107,"LEWISVILLE                              ","TX  ","75067     "
8204,"TULSA                                   ","OK  ","74135     "
509,"MESA                                    ","AZ  ","85202     "
5403,"CINCINNATI                              ","OH  ","45211     "
6009,"STOCKTON                                ","CA  ","95207     "
4,"LITTLE ROCK                             ","AR  ","72201     "
3107,"TEMPLE                                  ","TX  ","76502     "
5106,"INDEPENDENCE                            ","MO  ","64055     "
9309,"COLORADO SPRINGS                        ","CO  ","80909     "
8512,"MARREOR                                 ","LA  ","70072     "
4409,"HENDERSON                               ","NV  ","89014     "
2404,"NASHVILLE                               ","TN  ","37221     "
5602,"WELLINGTON                              ","FL  ","33414     "
802,"CLEARWATER                              ","FL  ","33761     "
3002,"JACKSONVILLE                            ","FL  ","32246     "
9700,"TEMPE                                   ","AZ  ","85281     "
9706,"NASHVILLE                               ","TN  ","37207     "
6209,"EL CENTRO                               ","CA  ","92243     "
5002,"CORAL SPRINGS                           ","FL  ","33071     "
4007,"AMARILLO                                ","TX  ","79121     "
507,"FORT WORTH                              ","TX  ","76116     "
4309,"LAS VEGAS                               ","NV  ","89119     "
7300,"OLATHE                                  ","KS  ","66062     "
8607,"BEAUMONT                                ","TX  ","77706     "
9709,"GREELEY                                 ","CO  ","80631     "
8406,"LITTLE ROCK                             ","AR  ","72201     "
5802,"MIAMI                                   ","FL  ","33172     "
4707,"ODESSA                                  ","TX  ","79762     "
4607,"MIDLAND                                 ","TX  ","79705     "
